"Notes"	"Gender"	"Gender Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Cause of death"	"Cause of death Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"2018"	"2018"	11	20100339	Unreliable
"Total"	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"			27	40209818	0.1
	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"2017"	"2017"	101	20109479	0.5
	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"2018"	"2018"	146	20100339	0.7
"Total"	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"			247	40209818	0.6
	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-harm by handgun discharge"	"X72"	"2017"	"2017"	6	20109479	Unreliable
	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-harm by handgun discharge"	"X72"	"2018"	"2018"	11	20100339	Unreliable
"Total"	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-harm by handgun discharge"	"X72"			17	40209818	Unreliable
	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"2017"	"2017"	1	20109479	Unreliable
	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"2018"	"2018"	3	20100339	Unreliable
"Total"	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"			4	40209818	Unreliable
	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"2017"	"2017"	23	20109479	0.1
	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"2018"	"2018"	30	20100339	0.1
"Total"	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			53	40209818	0.1
	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-harm by jumping from a high place"	"X80"	"2017"	"2017"	2	20109479	Unreliable
	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-harm by jumping from a high place"	"X80"	"2018"	"2018"	3	20100339	Unreliable
"Total"	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-harm by jumping from a high place"	"X80"			5	40209818	Unreliable
	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-harm by jumping or lying before moving object"	"X81"	"2017"	"2017"	4	20109479	Unreliable
	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-harm by jumping or lying before moving object"	"X81"	"2018"	"2018"	1	20100339	Unreliable
"Total"	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-harm by jumping or lying before moving object"	"X81"			5	40209818	Unreliable
	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-harm by crashing of motor vehicle"	"X82"	"2018"	"2018"	1	20100339	Unreliable
"Total"	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-harm by crashing of motor vehicle"	"X82"			1	40209818	Unreliable
	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-harm by unspecified means"	"X84"	"2017"	"2017"	1	20109479	Unreliable
"Total"	"Female"	"F"	"5-14 years"	"5-14"	"Intentional self-harm by unspecified means"	"X84"			1	40209818	Unreliable
"Total"	"Female"	"F"	"5-14 years"	"5-14"					381	40209818	0.9
	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"	"2017"	"2017"	11	21100662	Unreliable
	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"	"2018"	"2018"	4	20994345	Unreliable
"Total"	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"			15	42095007	Unreliable
	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	"2017"	"2017"	37	21100662	0.2
	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	"2018"	"2018"	44	20994345	0.2
"Total"	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"			81	42095007	0.2
	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	"2017"	"2017"	19	21100662	Unreliable
	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	"2018"	"2018"	15	20994345	Unreliable
"Total"	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"			34	42095007	0.1
	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system"	"X63"	"2017"	"2017"	3	21100662	Unreliable
	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system"	"X63"	"2018"	"2018"	5	20994345	Unreliable
"Total"	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system"	"X63"			8	42095007	Unreliable
	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"2017"	"2017"	114	21100662	0.5
	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"2018"	"2018"	113	20994345	0.5
"Total"	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"			227	42095007	0.5
	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-poisoning by and exposure to alcohol"	"X65"	"2017"	"2017"	2	21100662	Unreliable
"Total"	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-poisoning by and exposure to alcohol"	"X65"			2	42095007	Unreliable
	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours"	"X66"	"2018"	"2018"	1	20994345	Unreliable
"Total"	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours"	"X66"			1	42095007	Unreliable
	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	"2017"	"2017"	21	21100662	0.1
	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	"2018"	"2018"	22	20994345	0.1
"Total"	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"			43	42095007	0.1
	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-poisoning by and exposure to pesticides"	"X68"	"2018"	"2018"	1	20994345	Unreliable
"Total"	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-poisoning by and exposure to pesticides"	"X68"			1	42095007	Unreliable
	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances"	"X69"	"2017"	"2017"	1	21100662	Unreliable
	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances"	"X69"	"2018"	"2018"	1	20994345	Unreliable
"Total"	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances"	"X69"			2	42095007	Unreliable
	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"2017"	"2017"	592	21100662	2.8
	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"2018"	"2018"	551	20994345	2.6
"Total"	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"			1143	42095007	2.7
	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-harm by drowning and submersion"	"X71"	"2017"	"2017"	12	21100662	Unreliable
	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-harm by drowning and submersion"	"X71"	"2018"	"2018"	15	20994345	Unreliable
"Total"	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-harm by drowning and submersion"	"X71"			27	42095007	0.1
	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-harm by handgun discharge"	"X72"	"2017"	"2017"	99	21100662	0.5
	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-harm by handgun discharge"	"X72"	"2018"	"2018"	96	20994345	0.5
"Total"	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-harm by handgun discharge"	"X72"			195	42095007	0.5
	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"2017"	"2017"	16	21100662	Unreliable
	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"2018"	"2018"	33	20994345	0.2
"Total"	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"			49	42095007	0.1
	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"2017"	"2017"	206	21100662	1.0
	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"2018"	"2018"	216	20994345	1.0
"Total"	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			422	42095007	1.0
	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-harm by smoke, fire and flames"	"X76"	"2017"	"2017"	4	21100662	Unreliable
	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-harm by smoke, fire and flames"	"X76"	"2018"	"2018"	3	20994345	Unreliable
"Total"	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-harm by smoke, fire and flames"	"X76"			7	42095007	Unreliable
	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-harm by sharp object"	"X78"	"2017"	"2017"	1	21100662	Unreliable
	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-harm by sharp object"	"X78"	"2018"	"2018"	2	20994345	Unreliable
"Total"	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-harm by sharp object"	"X78"			3	42095007	Unreliable
	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-harm by jumping from a high place"	"X80"	"2017"	"2017"	37	21100662	0.2
	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-harm by jumping from a high place"	"X80"	"2018"	"2018"	44	20994345	0.2
"Total"	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-harm by jumping from a high place"	"X80"			81	42095007	0.2
	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-harm by jumping or lying before moving object"	"X81"	"2017"	"2017"	34	21100662	0.2
	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-harm by jumping or lying before moving object"	"X81"	"2018"	"2018"	29	20994345	0.1
"Total"	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-harm by jumping or lying before moving object"	"X81"			63	42095007	0.1
	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-harm by crashing of motor vehicle"	"X82"	"2017"	"2017"	9	21100662	Unreliable
	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-harm by crashing of motor vehicle"	"X82"	"2018"	"2018"	20	20994345	0.1
"Total"	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-harm by crashing of motor vehicle"	"X82"			29	42095007	0.1
	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-harm by other specified means"	"X83"	"2017"	"2017"	4	21100662	Unreliable
	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-harm by other specified means"	"X83"	"2018"	"2018"	4	20994345	Unreliable
"Total"	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-harm by other specified means"	"X83"			8	42095007	Unreliable
	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-harm by unspecified means"	"X84"	"2017"	"2017"	3	21100662	Unreliable
	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-harm by unspecified means"	"X84"	"2018"	"2018"	3	20994345	Unreliable
"Total"	"Female"	"F"	"15-24 years"	"15-24"	"Intentional self-harm by unspecified means"	"X84"			6	42095007	Unreliable
"Total"	"Female"	"F"	"15-24 years"	"15-24"					2447	42095007	5.8
	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"	"2017"	"2017"	10	22351311	Unreliable
	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"	"2018"	"2018"	8	22487065	Unreliable
"Total"	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"			18	44838376	Unreliable
	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	"2017"	"2017"	60	22351311	0.3
	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	"2018"	"2018"	54	22487065	0.2
"Total"	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"			114	44838376	0.3
	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	"2017"	"2017"	35	22351311	0.2
	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	"2018"	"2018"	18	22487065	Unreliable
"Total"	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"			53	44838376	0.1
	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system"	"X63"	"2017"	"2017"	2	22351311	Unreliable
	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system"	"X63"	"2018"	"2018"	6	22487065	Unreliable
"Total"	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system"	"X63"			8	44838376	Unreliable
	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"2017"	"2017"	172	22351311	0.8
	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"2018"	"2018"	175	22487065	0.8
"Total"	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"			347	44838376	0.8
	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-poisoning by and exposure to alcohol"	"X65"	"2017"	"2017"	2	22351311	Unreliable
	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-poisoning by and exposure to alcohol"	"X65"	"2018"	"2018"	5	22487065	Unreliable
"Total"	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-poisoning by and exposure to alcohol"	"X65"			7	44838376	Unreliable
	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours"	"X66"	"2017"	"2017"	4	22351311	Unreliable
	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours"	"X66"	"2018"	"2018"	2	22487065	Unreliable
"Total"	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours"	"X66"			6	44838376	Unreliable
	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	"2017"	"2017"	39	22351311	0.2
	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	"2018"	"2018"	37	22487065	0.2
"Total"	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"			76	44838376	0.2
	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-poisoning by and exposure to pesticides"	"X68"	"2018"	"2018"	1	22487065	Unreliable
"Total"	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-poisoning by and exposure to pesticides"	"X68"			1	44838376	Unreliable
	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances"	"X69"	"2017"	"2017"	1	22351311	Unreliable
	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances"	"X69"	"2018"	"2018"	6	22487065	Unreliable
"Total"	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances"	"X69"			7	44838376	Unreliable
	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"2017"	"2017"	645	22351311	2.9
	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"2018"	"2018"	700	22487065	3.1
"Total"	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"			1345	44838376	3.0
	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-harm by drowning and submersion"	"X71"	"2017"	"2017"	22	22351311	0.1
	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-harm by drowning and submersion"	"X71"	"2018"	"2018"	34	22487065	0.2
"Total"	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-harm by drowning and submersion"	"X71"			56	44838376	0.1
	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-harm by handgun discharge"	"X72"	"2017"	"2017"	137	22351311	0.6
	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-harm by handgun discharge"	"X72"	"2018"	"2018"	143	22487065	0.6
"Total"	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-harm by handgun discharge"	"X72"			280	44838376	0.6
	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"2017"	"2017"	25	22351311	0.1
	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"2018"	"2018"	28	22487065	0.1
"Total"	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"			53	44838376	0.1
	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"2017"	"2017"	334	22351311	1.5
	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"2018"	"2018"	328	22487065	1.5
"Total"	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			662	44838376	1.5
	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-harm by explosive material"	"X75"	"2017"	"2017"	1	22351311	Unreliable
"Total"	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-harm by explosive material"	"X75"			1	44838376	Unreliable
	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-harm by smoke, fire and flames"	"X76"	"2017"	"2017"	3	22351311	Unreliable
	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-harm by smoke, fire and flames"	"X76"	"2018"	"2018"	8	22487065	Unreliable
"Total"	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-harm by smoke, fire and flames"	"X76"			11	44838376	Unreliable
	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-harm by sharp object"	"X78"	"2017"	"2017"	20	22351311	0.1
	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-harm by sharp object"	"X78"	"2018"	"2018"	19	22487065	Unreliable
"Total"	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-harm by sharp object"	"X78"			39	44838376	0.1
	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-harm by jumping from a high place"	"X80"	"2017"	"2017"	45	22351311	0.2
	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-harm by jumping from a high place"	"X80"	"2018"	"2018"	51	22487065	0.2
"Total"	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-harm by jumping from a high place"	"X80"			96	44838376	0.2
	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-harm by jumping or lying before moving object"	"X81"	"2017"	"2017"	30	22351311	0.1
	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-harm by jumping or lying before moving object"	"X81"	"2018"	"2018"	37	22487065	0.2
"Total"	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-harm by jumping or lying before moving object"	"X81"			67	44838376	0.1
	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-harm by crashing of motor vehicle"	"X82"	"2017"	"2017"	8	22351311	Unreliable
	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-harm by crashing of motor vehicle"	"X82"	"2018"	"2018"	1	22487065	Unreliable
"Total"	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-harm by crashing of motor vehicle"	"X82"			9	44838376	Unreliable
	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-harm by other specified means"	"X83"	"2017"	"2017"	1	22351311	Unreliable
	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-harm by other specified means"	"X83"	"2018"	"2018"	7	22487065	Unreliable
"Total"	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-harm by other specified means"	"X83"			8	44838376	Unreliable
	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-harm by unspecified means"	"X84"	"2017"	"2017"	2	22351311	Unreliable
"Total"	"Female"	"F"	"25-34 years"	"25-34"	"Intentional self-harm by unspecified means"	"X84"			2	44838376	Unreliable
"Total"	"Female"	"F"	"25-34 years"	"25-34"					3266	44838376	7.3
	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"	"2017"	"2017"	10	20506270	Unreliable
	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"	"2018"	"2018"	12	20690288	Unreliable
"Total"	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"			22	41196558	0.1
	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	"2017"	"2017"	98	20506270	0.5
	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	"2018"	"2018"	108	20690288	0.5
"Total"	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"			206	41196558	0.5
	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	"2017"	"2017"	31	20506270	0.2
	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	"2018"	"2018"	33	20690288	0.2
"Total"	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"			64	41196558	0.2
	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system"	"X63"	"2017"	"2017"	8	20506270	Unreliable
	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system"	"X63"	"2018"	"2018"	4	20690288	Unreliable
"Total"	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system"	"X63"			12	41196558	Unreliable
